beer_name,beer_type,beer_abv,beer_ibu,rating_score,global_rating_score,photo_url
Strong Pale Ale,Strong Ale - English,6.2,0,3.25,3.36,https://untappd.s3.amazonaws.com/photo/2013_11_19/8e20eac7bc81f22d2b0db1eb9ae61bd8_raw.jpg
Ambar 1900,Pale Ale - English,4.8,21,2.0,2.87,https://untappd.s3.amazonaws.com/photo/2013_11_20/2a8d66b4973e8aa55401289ad8c1d77b_raw.jpg
Tsingtao,Lager - Pale,4.7,25,2.5,2.87,https://untappd.s3.amazonaws.com/photo/2013_11_20/35485a0fc12647a7555763f833c62019_raw.jpg
It's StillWeisse,Sour - Berliner Weisse,3.0,0,3.5,3.39,https://untappd.s3.amazonaws.com/photo/2013_11_22/e1f357ac60502e0b2259a6726b629982_raw.jpg
La Chouffe Blond,Belgian Strong Golden Ale,8.0,20,4.5,3.84,https://untappd.s3.amazonaws.com/photo/2013_11_22/e9dec58f4db5b2d3855182ef7a852a8c_raw.jpg
Old Empire IPA,IPA - English,5.7,35,4.0,3.28,https://untappd.s3.amazonaws.com/photo/2013_11_22/7cf65266d458b518d783668c7564fdc2_raw.jpg
Original (TAP07),Hefeweizen,5.4,14,3.5,3.69,https://untappd.s3.amazonaws.com/photo/2013_11_23/5448537333da058489da41e202f1406e_raw.jpg
Mongozo Premium Pilsener,Gluten-Free,5.0,0,2.5,2.84,https://untappd.s3.amazonaws.com/photo/2013_11_23/bebd13a7187a587c6f07a3c01b36d508_raw.jpg
Baltika #7 Export / Балтика #7 Экспортное,Lager - Dortmunder / Export,5.4,14,3.5,3.02,https://untappd.s3.amazonaws.com/photo/2013_11_24/f85d4c3ae709cbd08d68b65f2a52d2b7_raw.jpg
Carlsberg,Lager - Euro Pale,5.0,8,2.5,2.97,https://untappd.s3.amazonaws.com/photo/2013_11_24/0cbdf20d617656b0696f9dc82a2c66a6_raw.jpg
Baltika #7 Export / Балтика #7 Экспортное,Lager - Dortmunder / Export,5.4,14,3.5,3.02,https://untappd.s3.amazonaws.com/photo/2013_11_24/94adc0f9cea50c9ab368307d909b37f1_raw.jpg
Baltika #9 Strong / Балтика #9 Крепкое,Lager - Strong,8.0,18,3.5,2.99,https://untappd.s3.amazonaws.com/photo/2013_11_24/81c96d4c5f34f60e385d9dea5ee5056d_raw.jpg
Stare Misto (Старе Місто),Lager - Dortmunder / Export,4.8,0,3.0,2.87,https://untappd.s3.amazonaws.com/photo/2013_11_24/a5bdb4e83c8d7fbc1b8ba6e8351466a9_raw.jpg
Mahou Clásica,Lager - Pale,4.8,0,2.5,2.81,https://untappd.s3.amazonaws.com/photo/2013_11_27/4b0168615432385e883aeb91f3245c2d_raw.jpg
DAB Export / Dortmunder Export,Lager - Dortmunder / Export,5.0,23,3.0,3.05,https://untappd.s3.amazonaws.com/photo/2013_11_30/7c0c7cec6c582d28c140d7bf00fd46af_raw.jpg
Smashbomb Atomic IPA,IPA - American,6.0,72,4.5,3.66,https://untappd.s3.amazonaws.com/photo/2013_11_30/972621d6a77d46c1d1c51a4eaf02dca6_raw.jpg
Weizenbock,Bock - Weizenbock,10.5,22,3.0,3.75,https://untappd.s3.amazonaws.com/photo/2013_11_30/49b659849bd932494d4fd4a49896b37e_raw.jpg
San Miguel,Lager - Euro Pale,5.0,4,1.5,2.95,0
Alhambra Tradicional,Lager - Euro Pale,4.6,0,2.5,2.85,https://untappd.s3.amazonaws.com/photo/2013_12_05/3eb977a08d97b9bd3b1801be294f9b54_raw.jpg
Amstel,Lager - Euro Pale,5.0,21,2.0,2.85,https://untappd.s3.amazonaws.com/photo/2013_12_05/ef077759aa38d1f9ea34b8af37856f6a_raw.jpg
Estrella Damm,Lager - Pale,5.4,21,2.0,3.1,https://untappd.s3.amazonaws.com/photo/2013_12_07/2590bd6812da247fe7ae1d9c527b8621_raw.jpg
Mahou Cinco Estrellas,Lager - Pale,5.5,27,2.5,2.93,https://untappd.s3.amazonaws.com/photo/2013_12_07/9e40206465bc39c35f9196753f4e50f2_raw.jpg
Mahou Cinco Estrellas,Lager - Pale,5.5,27,2.5,2.93,https://untappd.s3.amazonaws.com/photo/2013_12_07/83b0acede3e1346a1c0a2dce9c3b7cf3_raw.jpg
Cruzcampo Pilsen,Pilsner - Other,4.8,20,2.5,2.76,https://untappd.s3.amazonaws.com/photo/2013_12_10/af3716149555f7509553c0435ab3d559_raw.jpg
Alhambra Especial,Lager - Euro Pale,5.4,17,3.0,3.03,https://untappd.s3.amazonaws.com/photo/2013_12_11/13d03da82a39d5d9a14508fc7017be3d_raw.jpg
Estrella Galicia Especial,Lager - Helles,5.5,25,3.5,3.12,https://untappd.s3.amazonaws.com/photo/2013_12_11/a70640ba381b24ff255fe13e7e7054df_raw.jpg
Fyr & Flamme,IPA - American,6.5,66,4.5,3.75,https://untappd.s3.amazonaws.com/photo/2013_12_12/9ede80147f707bcf1e485d97cd80ac5c_raw.jpg
Poperings Hommelbier,Belgian Strong Golden Ale,7.5,40,4.0,3.49,https://untappd.s3.amazonaws.com/photo/2013_12_12/890b27a688ea224697b4ff16d4adc016_raw.jpg
Faro,Lambic - Faro,4.5,12,4.0,3.49,https://untappd.s3.amazonaws.com/photo/2013_12_12/60aa385f1b5ceaa40b74c85e2543fd55_raw.jpg
Hoegaarden Wit / Blanche,Wheat Beer - Witbier,4.9,15,4.0,3.56,https://untappd.s3.amazonaws.com/photo/2013_12_12/e1b063e2b072b407fbffe69955ebc801_raw.jpg
Estrella Galicia Especial,Lager - Helles,5.5,25,3.5,3.12,https://untappd.s3.amazonaws.com/photo/2013_12_13/2cf399756464538252da6826252198fc_raw.jpg
Krušovice Imperial 5.0%,Pilsner - Czech,5.0,28,4.0,3.15,0
Hop Ottin' IPA,IPA - American,7.0,80,4.0,3.56,https://untappd.s3.amazonaws.com/photo/2013_12_15/1859d4727d4b2f2b5caa4f30bd309133_raw.jpg
Rubia,Pale Ale - English,4.5,0,3.5,3.13,https://untappd.s3.amazonaws.com/photo/2013_12_15/d4f0b12a35472ae07ce53bd4ae6a82de_raw.jpg
Mary,Barleywine - English,9.6,0,3.5,3.51,0
Burro de Sancho Rubia Ale,Blonde Ale,5.0,0,3.0,3.19,https://untappd.s3.amazonaws.com/photo/2013_12_15/bfe1ae1fe808807a76c4b295070f26f4_raw.jpg
India Pale Ale,IPA - English,5.5,23,3.0,3.2,https://untappd.s3.amazonaws.com/photo/2013_12_15/099ba3c1a73ee3f5022155872a823d3b_raw.jpg
Old Foghorn,Barleywine - American,8.2,52,4.0,3.61,https://untappd.s3.amazonaws.com/photo/2013_12_16/aa8b5eb994be24fcc7ced602fbf3ac86_raw.jpg
BierCaB Pale Ale,Pale Ale - American,3.0,0,4.5,3.49,https://untappd.s3.amazonaws.com/photo/2013_12_16/14884d7f01c91850d880aea1958aea73_raw.jpg
942 IPA,IPA - American,7.0,51,4.25,3.81,https://untappd.s3.amazonaws.com/photo/2013_12_17/e70df0d922d1a08f17833b55568abf48_raw.jpg
Imperial IPA,IPA - Imperial / Double,7.0,75,4.0,3.48,https://untappd.s3.amazonaws.com/photo/2013_12_19/48b52a24f1a02243414f936511b53be6_raw.jpg
Ambar Especial,Gluten-Free,5.2,0,3.5,2.84,https://untappd.s3.amazonaws.com/photo/2013_12_20/519d274e54b878e6d653f409c74332f4_raw.jpg
Hardcore IPA,IPA - Imperial / Double,9.2,150,3.0,3.92,https://untappd.s3.amazonaws.com/photo/2013_12_21/b5843be317a84ec16735cc2570120321_raw.jpg
Marlen Beer De Luxe,Lager - Dortmunder / Export,5.8,0,3.5,2.82,https://untappd.s3.amazonaws.com/photo/2013_12_21/c3e474e7995477792eb1d994a66b1e0e_raw.jpg
